자치구,관서명,인구,살인 발생,강도 발생,강간 발생,절도 발생,폭력 발생,살인 검거,강도 검거,강간 검거,절도 검거,폭력 검거
강남구,"서울강남경찰서, 서울수서경찰서",570500,13,21,449,3850,4284,10,18,349,1650,3705
강동구,서울강동경찰서,453233,4,6,156,2366,2712,3,8,123,789,2248
강북구,서울강북경찰서,330192,7,14,153,1434,2649,8,13,126,618,2348
강서구,서울강서경찰서,603772,7,13,262,2096,3207,8,13,191,1260,2718
관악구,서울관악경찰서,525515,9,12,320,2706,3298,8,14,221,827,2642
광진구,서울광진경찰서,372164,4,14,240,3026,2625,4,26,220,1277,2180
구로구,서울구로경찰서,447874,8,15,281,2335,3007,6,11,164,889,2432
금천구,서울금천경찰서,255082,3,6,151,1567,2054,4,6,122,888,1776
노원구,서울노원경찰서,569384,10,7,197,2193,2723,10,7,121,801,2329
도봉구,서울도봉경찰서,348646,3,9,102,1063,1487,3,10,106,478,1303
동대문구,서울동대문경찰서,369496,5,13,173,1981,2548,5,13,146,814,2227
동작구,서울동작경찰서,412520,5,9,285,1865,1910,5,5,139,661,1587
마포구,서울마포경찰서,389649,8,14,294,2555,2983,8,10,247,813,2519
서대문구,서울서대문경찰서,327163,2,5,154,1812,2056,2,4,124,738,1711
서초구,"서울서초경찰서, 서울방배경찰서",450310,8,9,393,2635,2399,6,6,249,1091,2098
성동구,서울성동경찰서,311244,4,9,126,1607,1612,4,8,119,597,1395
성북구,"서울성북경찰서, 서울종암경찰서",461260,5,5,150,1785,2209,5,4,124,741,1855
송파구,서울송파경찰서,667483,11,13,220,3239,3295,10,10,178,1129,2786
양천구,서울양천경찰서,479978,3,6,120,1890,2509,5,3,105,672,2030
영등포구,서울영등포경찰서,402985,14,22,295,2964,3572,12,20,183,978,2961
용산구,서울용산경찰서,244203,5,14,194,1557,2050,5,14,173,587,1704
은평구,"서울서부경찰서, 서울은평경찰서",494388,3,9,166,1914,2653,3,6,141,711,2306
중구,"서울중부경찰서, 서울남대문경찰서",133240,3,9,170,2548,2224,2,6,111,859,1964
중랑구,서울중랑경찰서,414503,13,11,187,2135,2847,12,9,148,829,2407
